record_id,entity_id,Source,Name,Surname,birth_date,Sex,Place Of Birth,Nationality,Codice Belfiore
rec_89,entity_150,C,Paolo,Bosio,03-07-1972,M,Italia,Italia,G786
rec_90,entity_1195,C,Pietro,Borsetti,15-02-1971,M,Italia,Italia,C469
rec_92,entity_1632,C,Mohamed Ayoub,Al-Ferjani,21-03-1989,M,Tunisia,Tunisia,Z352
rec_96,entity_1503,C,Spiro,Jorgo,24-07-1994,M,Albania,Albania,Z100
rec_97,entity_258,C,Agostini,Ermes,20-06-1985,M,Italia,Italia,C349
rec_98,entity_1325,C,Velotto,Alessandro,27-06-1982,M,Italia,Italia,B962
rec_100,entity_455,C,Giovanni,Prata,20-09-1981,M,Italia,Italia,F205
rec_102,entity_172,C,Lazzaro,Donati,01-08-1967,M,Italia,Italia,H501
rec_105,entity_1609,C,Riadh Riskalla,Henain,23-10-1998,M,Egitto,Egitto,Z336
rec_115,entity_44,C,Daniela,Ceccarelli,13-02-1956,F,Italia,Italia,L219
rec_120,entity_56,C,Giada,Rossi,30-09-1973,F,Italia,Italia,E507
rec_123,entity_1255,C,Jason,Cirone,26-06-1969,M,Italia,Italia,H222
rec_125,entity_1849,C,Yassine,Al-Rahmouni,14-04-1982,M,Marocco,Marocco,Z330
rec_130,entity_1276,C,Romano,Dazzi,30-09-2000,M,Italia,Italia,A883
rec_131,entity_679,C,Carlo,Scamrcio,26-10-1964,M,Italia,Italia,B644
rec_134,entity_651,C,Pierangelo,Gravina,22-02-1960,M,Italia,Italia,H223
rec_138,entity_372,C,Primo,Montanari,18-07-2000,M,Italia,Italia,D653
rec_139,entity_247,C,Ugo,Crispi,21-07-1976,M,Italia,Italia,L483
rec_144,entity_1244,C,Livio,Cipolla,05-04-1966,M,Italia,Italia,G273
rec_145,entity_1063,C,Filippo,Soffici,27-06-1985,M,Italia,Italia,H294
rec_152,entity_1563,C,Gusman,Jabrailov,13-01-1966,M,Moldova,Moldova,Z140
rec_153,entity_824,C,Giorgio,Jegher,16-01-1980,M,Italia,Italia,F205
rec_160,entity_1913,C,Ashraf Helmy Abdel,Halim,20-09-1983,M,Egitto,Egitto,Z336
rec_161,entity_851,C,Simoncelli,Stefano,22-06-1978,M,Italia,Italia,H501
rec_163,entity_343,C,Ercole,Baldini,11-02-1959,M,Italia,Italia,G015
rec_166,entity_1192,C,Raffaellino,Rugfini,19-11-1984,M,Italia,Italia,L331
rec_170,entity_242,C,Puccio,Pucci,20-04-1972,M,Italia,Italia,B780
rec_174,entity_1500,C,Arsne Kra,Konan,19-12-1999,M,Costa D'Avorio,Costa D'Avorio,Z313
rec_176,entity_1688,C,Adeoye,Adetunji,24-06-1992,M,Nigeria,Nigeria,Z335
rec_178,entity_1434,C,Abdelhadi,Legdali,06-09-1989,M,Marocco,Marocco,Z330
rec_179,entity_1880,C,Stefan,Kroner,30-01-1991,M,Romania,Romania,Z129
rec_180,entity_1233,C,Vitaliano,Masotti,08-06-1986,M,Italia,Italia,A026
rec_183,entity_770,C,Stefano,Gargallo,17-09-1961,M,Italia,Italia,B963
rec_184,entity_322,C,Paolo,Casarsa,23-03-1973,M,Italia,Italia,I330
rec_185,entity_917,C,Bruno,Cipolla,24-12-1996,M,Italia,Italia,F416
rec_188,entity_359,C,Ignazio,Costalonga,17-05-1981,M,Italia,Italia,L120
rec_189,entity_854,C,Orlando,Savarin,17-07-1980,M,Italia,Italia,G924
rec_190,entity_1139,C,Agostino,Agostnii,13-06-1990,M,Italia,Italia,C129
rec_191,entity_209,C,Lorenzo,Morigi,10-12-1993,M,Italia,Italia,C565
rec_195,entity_1750,C,Seyfula Seferovich,Magomedov,28-07-1992,M,Russia,Russia,Z154
rec_196,entity_376,C,Alfio,Peraboni,25-01-1963,M,Italia,Italia,D231
rec_197,entity_248,C,Riccardo Giorgio,Materazzi,02-06-1989,M,Italia,Italia,H501
rec_201,entity_436,C,Mauro,Spadafora,25-11-1973,M,Italia,Italia,G273
rec_202,entity_929,C,Filippo,Boiardo,16-02-1961,M,Italia,Italia,D379
rec_203,entity_1719,C,Okechukwu Godson,Azubuike,09-08-1992,M,Nigeria,Nigeria,Z335
rec_207,entity_1745,C,Gamze,Bulut,24-04-1998,M,Turchia,Turchia,Z243
rec_210,entity_358,C,Piergiorgio,Sibilia,21-10-1987,M,Italia,Italia,L424
rec_211,entity_424,C,Giovanni,Camputaro,12-05-1993,M,Italia,Italia,F205
rec_212,entity_757,C,Giuseppe,Tonucci,07-10-1981,M,Italia,Italia,H623
rec_213,entity_493,C,Marcello,Tittarelli,29-08-1974,M,Italia,Italia,G273
rec_215,entity_888,C,Luciano,Marion,29-03-1991,M,Italia,Italia,A944
rec_218,entity_1830,C,Ladipo,Suleiman,01-05-1991,M,Nigeria,Nigeria,Z335
rec_219,entity_201,C,Danilo,Samele,20-06-1969,M,Italia,Italia,H501
rec_220,entity_315,C,Gianpietro,Guinizzelli,03-09-1980,M,Italia,Italia,H834
rec_225,entity_1841,C,Jorge Luis Felix,Alcalde Milglos,22-12-1965,M,Peru,Peru,Z611
rec_233,entity_318,C,Livio,Marrone,24-02-1974,M,Italia,Italia,C726
rec_234,entity_555,C,Arsenio,Castioni,01-09-1961,M,Italia,Italia,L407
rec_237,entity_1843,C,Nduka Emmanuel,Odiozr,03-02-1985,M,Nigeria,Nigeria,Z335
rec_241,entity_1571,C,Ion,Baciu,21-06-1986,M,Romania,Romania,Z129
rec_242,entity_899,C,Geremia,Corcos,15-11-1977,M,Italia,Italia,A893
rec_243,entity_1318,C,Rino,Pucci,03-11-1959,M,Italia,Italia,I690
rec_248,entity_839,C,Nicola,Marconi,08-06-1986,M,Italia,Italia,D612
rec_249,entity_1328,C,Morucci,Alderano,10-08-1990,M,Italia,Italia,M403
rec_253,entity_674,C,Raffaele,Marconi,06-07-1986,M,Italia,Italia,F915
rec_254,entity_255,C,Martino,Orsini,14-03-1978,M,Italia,Italia,H612
rec_256,entity_1242,C,Ferdinando,Colaninno,04-04-1975,M,Italia,Italia,L049
rec_260,entity_758,C,Bruno,Campese,21-09-1985,M,Italia,Italia,A710
rec_263,entity_1425,C,Mahmoud,Bouanik,05-02-1977,M,Algeria,Algeria,Z301
rec_265,entity_618,C,Giorgio Giuseppe,Morbiato,19-11-1980,M,Italia,Italia,D423
rec_266,entity_116,C,Sante,Ramazzotti,06-09-1983,M,Italia,Italia,I234
rec_268,entity_1429,C,Andrei,Igorov,13-03-1962,M,Romania,Romania,Z129
rec_272,entity_1492,C,Gheorghe,Constantinide,30-06-1974,M,Romania,Romania,Z129
rec_279,entity_1590,C,Roman Mykhailovych,Volodkov,14-01-1974,M,Ucraina,Ucraina,Z138
rec_280,entity_868,C,Francesco,Malatesta,18-08-1968,M,Italia,Italia,B157
rec_283,entity_1237,C,Aniello,Moretti,13-02-1986,M,Italia,Italia,A674
rec_284,entity_847,C,Benito,Totti,03-04-1981,M,Italia,Italia,A064
rec_288,entity_1690,C,Beqir Bej,Rusi,14-01-1988,M,Albania,Albania,Z100
rec_289,entity_1936,C,Fethi,Gjariani,12-07-1997,M,Tunisia,Tunisia,Z352
rec_290,entity_1886,C,Muhammad,Yaghoub,05-11-1981,M,Pakistan,Pakistan,Z236
rec_295,entity_874,C,R4nato,Berninzone,12-03-1983,M,Italia,Italia,B962
rec_296,entity_684,C,Biagio,Grasso,02-12-1991,M,Italia,Italia,E054
rec_297,entity_1044,C,Manlio,Di Rosa,05-05-1978,M,Italia,Italia,F119
rec_299,entity_611,C,Pasquale Domenico,Rocco,29-09-1967,M,Italia,Italia,E791
rec_301,entity_1900,C,Mustapha,El-Hadaoui,23-05-1974,M,Marocco,Marocco,Z330
rec_302,entity_530,C,Severo,Pertile,08-05-1963,M,Italia,Italia,H118
rec_303,entity_1688,C,Adeoye,Adetunji,24-06-1992,M,Nigeria,Nigeria,Z335
rec_304,entity_272,C,Lodovicho,Nava,29-09-1997,M,Australia,Italia,Z700
rec_307,entity_1970,C,Vasile,Mariuan,04-02-1988,M,Romania,Romania,Z129
rec_308,entity_947,C,Omero,Taddeini,26-08-1978,M,Italia,Italia,H101
rec_311,entity_1978,C,Salvator,Cicurel,28-09-1995,M,Egitto,Egitto,Z336
rec_313,entity_1798,C,Nestor,Bolum,01-08-1999,M,Nigeria,Nigeria,Z335
rec_319,entity_1482,C,Albert,Gonzalez Mas,04-05-1987,M,Cile,Cile,Z603
rec_322,entity_792,C,Gioele,Vidoni,13-03-1956,M,Italia,Italia,A001
rec_325,entity_1985,C,Abderrahman,Naanaa,27-05-1978,M,Marocco,Marocco,Z330
rec_335,entity_621,C,Tommaso,Tagliaferri,16-08-1991,M,Italia,Italia,F246
rec_343,entity_1036,C,Fulvio,Spsllanzani,21-05-1972,M,Italia,Italia,C957
rec_347,entity_1367,C,Ihor Kostyantinovych,Hlavan,09-01-1991,M,Ucraina,Ucraina,Z138
rec_349,entity_1204,C,Ignazio,Muti,03-02-1972,M,Italia,Italia,G141
rec_350,entity_1424,C,Ismail,Ibruahimi,24-11-1988,M,Albania,Albania,Z100
rec_351,entity_1161,C,Adriano,Darioli,17-10-1963,M,Italia,Italia,A475
rec_352,entity_988,C,Marcello,Lamborghini,18-12-1982,M,Italia,Italia,G337
rec_354,entity_75,C,Gianmarco,Rizzoli,16-09-1982,M,Italia,Italia,I684
rec_358,entity_1524,C,Jefferson Dias,Sabino,25-02-1978,M,Brasile,Brasile,Z602
rec_359,entity_1602,C,Hicham,Azizi,22-12-1986,M,Marocco,Marocco,Z330
rec_361,entity_776,C,Bruto,Buozzi,16-11-1974,M,Italia,Italia,C933
rec_363,entity_231,C,Giuseppe,Di Palo,20-02-1956,M,Italia,Italia,G273
rec_366,entity_1055,C,Adone,Stellin,10-10-1991,M,Italia,Italia,F923
rec_368,entity_1307,C,Secondo,Marchi,14-11-2004,M,Italia,Italia,C107
rec_372,entity_1320,C,Carmine,Tucci,17-04-1978,M,Italia,Italia,A294
rec_374,entity_1170,C,Callegaro,Antonello,02-11-1957,M,Italia,Italia,F205
rec_375,entity_1665,C,Mehmet,Pensgili,31-05-2003,M,Albania,Albania,Z100
rec_379,entity_1819,C,Christian Ludger,Ohirq,14-12-1978,M,Nigeria,Nigeria,Z335
rec_385,entity_535,C,Giulio,Rusticucci,11-04-1970,M,Italia,Italia,H501
rec_386,entity_235,C,Alfred,Prucker,26-10-1984,M,Italia,Italia,G337
rec_388,entity_1229,C,Mario,Zorzi,27-06-1963,M,Italia,Italia,A944
rec_398,entity_601,C,Adriano,Cor5er,30-09-1967,M,Italia,Italia,G888
rec_400,entity_1885,C,Gjovalin,Luka,04-03-1995,M,Albania,Albania,Z100
rec_402,entity_1009,C,Vittorio Stellin,Castellani,30-09-1995,M,Italia,Italia,F356
rec_404,entity_1020,C,Dario,Metella,28-05-1958,M,Italia,Italia,C574
rec_412,entity_712,C,Mauro,Soranzo,27-05-1970,M,Italia,Italia,H163
rec_418,entity_1895,C,Antwon Toritseju,Hicks,14-12-1982,M,Nigeria,Nigeria,Z335
rec_421,entity_1899,C,Mohsin Nazar,Khan,21-05-1991,M,Pakistan,Pakistan,Z236
rec_422,entity_1027,C,John,Bellio,28-08-1995,M,Italia,Italia,F205
rec_424,entity_1290,C,Aldo,Ossani,21-04-1983,M,Italia,Italia,H224
rec_427,entity_1666,C,Stephane Diarra,Badji,06-02-1991,M,Senegal,Senegal,Z343
rec_436,entity_598,C,Livio,Marsili,03-04-1986,M,Italia,Italia,H501
rec_442,entity_427,C,Gianfranco,Sibello,11-09-1956,M,Italia,Italia,G337
rec_444,entity_868,C,Francesco,Malatesta,18-08-1968,M,Italia,Italia,B157
rec_445,entity_589,C,Tommaso,Leoni,02-02-1982,M,Italia,Italia,M272
rec_446,entity_737,C,Gianmaria,Aloiiso,24-07-1991,M,Italia,Italia,G273
rec_447,entity_43,C,Roberta,Felotti,31-12-1977,F,Italia,Italia,H096
rec_451,entity_935,C,Ezio,Della Savia,08-06-1971,M,Italia,Italia,F205
rec_455,entity_878,C,Angelo,Tozzg,29-09-1976,M,Italia,Italia,B731
rec_460,entity_1279,C,Gianfranco,Forza,22-04-1966,M,Italia,Italia,F839
rec_462,entity_1279,C,Gianfranco,Forza,22-04-1966,M,Italia,Italia,F839
rec_466,entity_1388,C,El-Tayeb El-Hadj,Khelfallah,04-10-1987,M,Algeria,Algeria,Z301
rec_467,entity_1855,C,Enekpedekumoh,Okporu,15-12-1986,M,Nigeria,Nigeria,Z335
rec_472,entity_1777,C,Aleksi,Modebadze,08-07-1991,M,Georgia,Georgia,Z254
rec_475,entity_1893,C,Jackson Amadeo,Quionez Vernaza,27-02-1998,M,Ecuador,Ecuador,Z605
rec_476,entity_862,C,Constanzo,Mangini,18-04-1996,M,Italia,Italia,L259
rec_479,entity_796,C,Quintino,Tfopea,20-12-1964,M,Italia,Italia,H501
rec_483,entity_84,C,Stefano,Pescosolido,25-10-1968,M,Italia,Italia,L746
rec_484,entity_1380,C,Ahmed,Rida,17-10-1974,M,Marocco,Marocco,Z330
rec_485,entity_614,C,Mario,Petrxi,04-07-1970,M,Italia,Italia,H501
rec_488,entity_1327,C,Gianpaolo,Valier,22-04-1953,M,Italia,Italia,L736
rec_491,entity_1055,C,Adone,Stellin,10-10-1991,M,Italia,Italia,F923
rec_492,entity_586,C,Zisser,Stefan,02-11-1964,M,Italia,Italia,F205
rec_493,entity_802,C,Raffaele,Bastoni,28-05-1981,M,Italia,Italia,H501
rec_495,entity_349,C,Anthony,Biagiotti,24-06-1969,M,Italia,Italia,F704
rec_496,entity_1821,C,Macauley,Appah,12-06-1993,M,Nigeria,Nigeria,Z335
rec_497,entity_1531,C,Bechir,Mardassi,26-05-2001,M,Tunisia,Tunisia,Z352
rec_498,entity_1590,C,Roman Mykhailovych,Volodkov,14-01-1974,M,Ucraina,Ucraina,Z138
rec_502,entity_96,C,Matteo,Piano,23-11-1976,M,Italia,Italia,E532
rec_504,entity_693,C,Lamberto,Gussoni,17-11-1959,M,Italia,Italia,H163
rec_508,entity_579,C,Massimiliano,Tornatore,24-07-1995,M,Italia,Italia,C523
rec_516,entity_15,C,Elena Wilma,Lagorara,19-07-1947,F,Italia,Italia,C286
rec_519,entity_922,C,Luigi,Cantone,01-09-1977,M,Italia,Italia,D960
rec_522,entity_1534,C,Alexandru,Jucov,04-02-1995,M,Moldova,Moldova,Z140
rec_528,entity_1029,C,Ermanno,Borsiere,12-05-1968,M,Italia,Italia,B716
rec_530,entity_1982,C,Khalid,Baba,09-07-1989,M,Marocco,Marocco,Z330
rec_537,entity_829,C,Igino,Rizzi,05-07-1976,M,Italia,Italia,A271
rec_538,entity_1379,C,Fathallah,Bouazzaoui,26-07-1980,M,Marocco,Marocco,Z330
rec_540,entity_1031,C,Andrea,Logno,16-05-1964,M,Italia,Italia,C034
rec_543,entity_1677,C,Ilirjan,Suli,08-02-1969,M,Albania,Albania,Z100
rec_545,entity_1953,C,Modou,Tall,19-08-1993,M,Senegal,Senegal,Z343
rec_546,entity_1062,C,Claudio,Nolano,04-07-1964,M,Italia,Italia,E936
rec_549,entity_842,C,Marco Aurelio,Fontana,08-07-1976,M,Italia,Italia,G888
rec_553,entity_1247,C,Renzo,Ranuzzi,01-07-1966,M,Italia,Italia,A056
rec_554,entity_716,C,Pompeo,Calbo,09-04-1982,M,Italia,Italia,D612
rec_557,entity_1182,C,Giancarlo,Agazzi,21-02-1989,M,Italia,Italia,D960
rec_560,entity_192,C,Giuseppe,Ghedina,22-08-1987,M,Italia,Italia,H501
rec_561,entity_555,C,Arsenio,Castioni,01-09-1961,M,Italia,Italia,L407
rec_562,entity_1067,C,Orazio,Pizzetti,04-12-1988,M,Italia,Italia,H827
rec_568,entity_758,C,Bruno,Campese,21-09-1985,M,Italia,Italia,A710
rec_571,entity_929,C,Filippo,Boiardo,16-02-1961,M,Italia,Italia,D379
rec_579,entity_1643,C,Nikola,Janovi,23-09-1979,M,Montenegro,Montenegro,Z159
rec_585,entity_547,C,Stefano,Tempesti,08-10-1989,M,Italia,Italia,H501
rec_587,entity_1792,C,Benjamin,Enriquez,20-09-1997,M,Filippine,Filippine,Z216
rec_588,entity_387,C,Gioacchino,Chigi,17-11-1985,M,Italia,Italia,F646
rec_592,entity_1742,C,Mohafmed,Hamza,27-12-1983,M,Egitto,Egitto,Z336
rec_595,entity_761,C,Campanella,Luigi,19-02-1964,M,Italia,Italia,C002
rec_600,entity_1265,C,Silvio,De Florentiis,28-12-1993,M,Italia,Italia,A662
rec_602,entity_1912,C,Cornel,Gheorghe,29-09-1985,M,Romania,Romania,Z129
rec_611,entity_300,C,Rodolfo,Rambozzi,16-06-1983,M,Italia,Italia,A963
rec_613,entity_880,C,Vincenzo,D'Angelo,30-06-1971,M,Italia,Italia,A662
rec_615,entity_675,C,Stefano,Desideri,09-05-1966,M,Italia,Italia,C895
rec_624,entity_93,C,Alberto,Angeluni,12-10-1993,M,Italia,Italia,H501
rec_626,entity_502,C,Marco,Motta,30-04-1996,M,Italia,Italia,G921
rec_628,entity_1869,C,Teslim Babatunde,Fatsi,11-07-1990,M,Nigeria,Nigeria,Z335
rec_635,entity_1291,C,Danilo,Luca,30-06-1980,M,Italia,Italia,A652
rec_636,entity_1931,C,Achraf,Mezyan,21-05-1993,M,Marocco,Marocco,Z330
rec_641,entity_427,C,Gianfranco,Sibello,11-09-1956,M,Italia,Italia,G337
rec_646,entity_1922,C,Abderraouf,El-Fsssy,04-05-1994,M,Marocco,Marocco,Z330
rec_648,entity_1283,C,Amadeo,Sforza,05-10-1970,M,Italia,Italia,F839
rec_654,entity_1648,C,Kareem Ben,Kofar,19-10-1983,M,Marocco,Marocco,Z330
rec_656,entity_789,C,Zacco,Cipriano,07-07-2001,M,Italia,Italia,H501
rec_657,entity_1155,C,Francesco,Fourquet,27-09-1984,M,Italia,Italia,C351
rec_664,entity_1695,C,Igor,Laikert,04-10-1987,M,Bosnia e Erzegovina,Bosnia e Erzegovina,Z153
rec_666,entity_1329,C,Marco,De Nifolo,18-07-2001,M,Italia,Italia,H501
rec_677,entity_1964,C,Sadio,Man,28-09-1996,M,Senegal,Senegal,Z343
rec_678,entity_179,C,Adqriano,Arnoldo,23-12-1999,M,Italia,Italia,B507
rec_681,entity_1241,C,Silvano,Meconi,06-02-1976,M,Italia,Italia,F288
rec_682,entity_522,C,Niccolo,Mazzeo,13-02-1976,M,Italia,Italia,H501
rec_686,entity_780,C,Francesco,Attolico,20-10-1989,M,Italia,Italia,C740
rec_687,entity_1921,C,Hani,El-Teir,15-10-1975,M,Egitto,Egitto,Z336
rec_688,entity_731,C,Umberto,Maffei,25-02-1956,M,Svizzera,Italia,Z133
rec_689,entity_936,C,Walter,Bottega,30-09-1968,M,Italia,Italia,A192
rec_691,entity_1823,C,Igpr,Boras,16-10-1958,M,Bosnia e Erzegovina,Bosnia e Erzegovina,Z153
rec_695,entity_855,C,Matteo,Galvan,01-06-1973,M,Italia,Italia,G834
rec_696,entity_1671,C,Benjamin,Demba,07-03-1985,M,Gambia,Gambia,Z317
rec_699,entity_394,C,Antonio,Iannucci,11-10-1981,M,Italia,Italia,B905
rec_700,entity_810,C,Ermes,Zacchia,15-05-1966,M,Italia,Italia,A474
rec_702,entity_1030,C,Daniele,Cioni,26-05-1978,M,Italia,Italia,L219
rec_704,entity_773,C,Fagbrizio,De Chiara,07-10-2003,M,Italia,Italia,D711
rec_705,entity_1349,C,Chima,Nwosu,06-06-1992,F,Nigeria,Nigeria,Z335
rec_708,entity_1625,C,Elvir,Krehmi,03-06-1991,M,Bosnia e Erzegovina,Bosnia e Erzegovina,Z153
rec_709,entity_1217,C,Andrea,Verdina,04-01-1977,M,Italia,Italia,E263
rec_716,entity_1659,C,Alex Leonaro,Quinez Martinez,04-10-1976,M,Ecuador,Ecuador,Z605
rec_717,entity_568,C,Manuel Fabrizio,Cappai,30-11-1997,M,Italia,Italia,G273
rec_718,entity_1272,C,Pierfrancesco,Agnesi,14-07-1974,M,Italia,Italia,A662
rec_719,entity_1676,C,Youns,Sekkat,03-02-1990,M,Marocco,Marocco,Z330
rec_722,entity_752,C,Sabatino,Boccioni,28-08-1987,M,Italia,Italia,D643
rec_723,entity_1575,C,James,Idun,08-03-1983,M,Ghana,Ghana,Z318
rec_725,entity_200,C,Oscar,Bertone,02-12-1969,M,Italia,Italia,C388
rec_731,entity_1292,C,Ugo,Parini,08-03-1977,M,Italia,Italia,E885
rec_732,entity_586,C,Zisser,Stefan,02-11-1964,M,Italia,Italia,F205
rec_735,entity_294,C,Andrea,Benelli,26-12-1962,M,Italia,Italia,H703
rec_736,entity_123,C,Mariano,Antonelli,14-02-1951,M,Italia,Italia,I452
rec_739,entity_1902,C,Abdel Aziz,Hammu,14-06-1973,M,Tunisia,Tunisia,Z352
rec_743,entity_378,C,Salvatore,Campanella,04-11-1966,M,Italia,Italia,E036
rec_748,entity_1353,C,Olga,Cristea,11-05-1964,F,Moldova,Moldova,Z140
rec_750,entity_419,C,Walter,Zenga,18-10-1995,M,Italia,Italia,H769
rec_753,entity_205,C,Maurizio,Iorio,23-02-1975,M,Italia,Italia,H625
rec_757,entity_1647,C,Ilie,Popa,12-03-1993,M,Romania,Romania,Z129
rec_761,entity_105,C,Francesco,Del Grosso,05-02-1983,M,Italia,Italia,C388
rec_769,entity_1983,C,Khaled Abdel,Rahman,07-08-1968,M,Egitto,Egitto,Z336
rec_771,entity_762,C,Donato,Pavesi,23-11-1975,M,Italia,Italia,H501
rec_772,entity_27,C,Francesca,Franfolini,01-10-1991,F,Italia,Italia,B429
rec_782,entity_974,C,Piero,Sibello,16-10-1970,M,Italia,Italia,F839
rec_784,entity_1215,C,Ulderico,Sergo,13-01-1998,M,Italia,Italia,I703
rec_785,entity_1185,C,Ital,Salice,04-04-1963,M,Italia,Italia,C743
rec_786,entity_494,C,Luigi Walter,Moretti,14-12-1974,M,Italia,Italia,F257
rec_787,entity_1716,C,Adnan,Al-Rhimi,10-11-1982,M,Tunisia,Tunisia,Z352
rec_791,entity_962,C,Cosimo Teodoro,Campioto,13-05-1969,M,Italia,Italia,C990
rec_792,entity_240,C,Achille,Maffei,31-10-1974,M,Italia,Italia,L219
rec_794,entity_638,C,Achille,Canna,03-05-1987,M,Italia,Italia,F205
rec_797,entity_110,C,Egidio,Jacuzzi,04-05-1975,M,Italia,Italia,D379
rec_799,entity_634,C,Cipriano,Grimani,30-04-1965,M,Italia,Italia,H163
rec_801,entity_691,C,Lodovico,Nulli,11-08-2001,M,Italia,Italia,L833
rec_804,entity_1584,C,Fatah Ben,Farj,25-10-2000,M,Marocco,Marocco,Z330
rec_808,entity_85,C,Fausto,Guidotit,11-02-1969,M,Italia,Italia,G812
rec_814,entity_618,C,Giorgio Giuseppe,Morbiato,19-11-1980,M,Italia,Italia,D423
rec_815,entity_1925,C,Sao,Nestorov,22-12-1980,M,Macedonia,Macedonia,Z148
rec_823,entity_1073,C,Gianni,Venditti,01-02-1989,M,Italia,Italia,H501
rec_825,entity_74,C,Lando,Priuli,01-07-1977,M,Italia,Italia,H211
rec_828,entity_999,C,Ruggero,Faugno,31-01-1957,M,Italia,Italia,G015
rec_832,entity_351,C,Giuseppe,Pepe,28-07-1967,M,Italia,Italia,B644
rec_834,entity_997,C,Vincenzo,Guerini,27-12-1981,M,Italia,Italia,H223
rec_845,entity_1428,C,Mohammed,Hachimi,19-05-1983,M,Marocco,Marocco,Z330
rec_849,entity_16,C,Liliana,Tagliaferri,25-02-1962,F,Italia,Italia,H509
rec_863,entity_1040,C,Mirco,Cenci,24-10-1974,M,Venezuela,Italia,Z614
rec_865,entity_464,C,Riccardo,De Luca,09-10-1983,M,Italia,Italia,H223
rec_866,entity_1131,C,Francesco,Moser,23-04-1977,M,Italia,Italia,F269
rec_869,entity_1811,C,Hocine,Al-Ragued,16-11-1983,M,Tunisia,Tunisia,Z352
rec_870,entity_1670,C,Branislav,Mitrovi,15-06-1991,M,Serbia,Serbia,Z158
rec_874,entity_991,C,Massimo,Cerutti,24-01-1981,M,Italia,Italia,G337
rec_876,entity_1306,C,Goffredo,Gianinazzi,25-09-1982,M,Italia,Italia,H501
rec_877,entity_600,C,Guido,Scarpetta,26-06-1957,M,Italia,Italia,M309
rec_878,entity_462,C,Luigi,Coppa,27-01-1947,M,Italia,Italia,G964
rec_883,entity_304,C,Philip,Di Gaetano,19-03-1971,M,Italia,Italia,F205
rec_886,entity_1790,C,Daba Modibo,Keita,24-07-1984,M,Mali,Mali,Z329
rec_889,entity_788,C,Guglielmo,Brezzi,02-06-1969,M,Francia,Italia,Z110
rec_897,entity_655,C,Andrea Alessandro,Carnevale,19-04-1977,M,Italia,Italia,I433
rec_899,entity_1509,C,Dnu,Dobre,10-06-1989,M,Romania,Romania,Z129
rec_901,entity_1136,C,Mirko,Fantozzi,04-03-1969,M,Italia,Italia,A028
rec_905,entity_1773,C,Sad,Brioui,22-01-1995,M,Marocco,Marocco,Z330
rec_907,entity_484,C,Giancarlo,Cecconi,23-09-1971,M,Italia,Italia,A638
rec_912,entity_1421,C,Noureddine,Bougrhanmi,02-08-1994,M,Tunisia,Tunisia,Z352
rec_913,entity_794,C,Pier Giorgio,Cazzola,06-01-1954,M,Italia,Italia,A475
rec_917,entity_203,C,Romeo,Giolitti,08-10-1994,M,Italia,Italia,D643
